CO Description,PO/PSO Description,Score (0-3)
Present the issue of damping on the plant using the DC location control scheme.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Solve Linear and Non - Elongate PDE ’ south.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
"Apply the Second natural law of thermodynamics to canvass heat pumps, refrigerator, heat locomotive engine and to evaluate randomness change.",Apply their learning to design and develop basic mechanical systems and processes.,3
Analyse the parameters of the give spiral and mensuration of power and energy in atomic number 89 circuits,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Describe the decentralization and cryptographic primitive.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Define the efficiency of Rankine cycle with public presentation melioration techniques; Understand the nozzle performance and the stipulation for the maximum discharge.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
"Understand the construct similar datum storage, index and transaction processing.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Define the various IoT enabling technologies and differentiate between M2M and IoT.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Demonstrate standard operations on linear and nonlinear data structures.,"Life time - long learning: Recognize the need for, and have the planning and ability to engage in independent and life - tenacious learning in the tolerant context of technological variety.",1
Hold the transmitter differential operator to Scalars and Transmitter functions.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
"Acquire noesis in the functionality, performance and testing of hydraulic turbine",Apply their learning to design and develop basic mechanical systems and processes.,2
Describe the finishing and super finishing operations and the framework required.,Use their acquisition to design and develop basic mechanical systems and processes.,2
Evaluate the static and dynamic balancing masses in a rotating mass system.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
"Find out strain and strains in flimsy, thick cylindrical shell and able bodied to reckon critical buckling loads in columns and struts.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Review lit to name the break, define the objective and ambit of the work.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",3
Formulate numerical equations by Finite Volume Method for fluid flow and heat transfer problems,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
Describe the finish and super finishing operations and the theoretical account required.,Apply their learning to design and develop basic mechanical systems and processes.,2
"Analyze response of machine fellow member in constrained trembling with different excitation frequencies, Recommend suitable vibration parameter for isolation and compute critical speeds.","Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Devise solutions to problems using linear and nonlinear data structures.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Analyze concurrency ascendence and recuperation mechanisms.,Apply their learning to design and develop basic mechanical systems and processes.,0
Demonstrate the noesis of various Additive Manufacturing Procedure.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Choose suitable manufacturing process for a given component,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Related material failure by fatigue and creep.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
Use the basic probability for jibe the Random phenomenon.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Square off the extreme note value of functions of ii variables.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",3
Determine the gear and screw thread parameters using profile projector and tool makers’ microscope.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Specify the rate constant of reaction from concentration of reactants / products as a social occasion of time.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Summarize the various fabrication methods of composite stuff and measurements of properties through examination.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Write the CNC part plan for bare components.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,1
Devise solutions to problems using linear and nonlinear data structures.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
"Able to apply Python and OpenCV for image processing, including RGB extraction and ROI tasks.","Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Apply the methodology of choosing the suitable sensor for a mechatronics system.,"Environment and sustainability: Empathise the impact of the professional engineering solutions in societal and environmental contexts, and manifest the noesis of, and need for sustainable growth.",1
Measure hardness and can correlate with microstructure.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Analyze preprocessing and identify different post processing techniques in AM,"Environment and sustainability: Understand the impact of the professional engineering solution in societal and environmental context, and demonstrate the knowledge of, and ask for sustainable growing.",1
Perform asymptotic psychoanalysis for operation on data social structure.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Apply hashing.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
"Use versatile material, processes, product and calibre control.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",1
Understand the role of production scheme and it figure in yield and operationsmanagement.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Write the CNC part program for simple component part.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
"Develop their ability to write paragraphs severally on any setting with cohesion, edit essays coherently while realizing brevity through with précis writing.","Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
"Understand the need, accuracy and associated concepts of linear and angular measurements.","Problem analytic thinking: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated close apply first principles of math, natural skill, and engine room sciences.",1
Analyze searching/sorting techniques to solve problems that involve finding and manipulating data.,"Design / development of solutions: Design solutions for complex engineering problems and design system components operating theatre summons that forgather the specified motivation with appropriate considerateness for public health and safety, and cultural, social, and environmental thoughtfulness.",2
"Use various materials, processes, products and quality control.","Project management and finance: Demonstrate knowledge and understanding of the applied science and management principles and apply these to one ’ entropy ain piece of work, as a member and leader in a team, to manage projects and in multidisciplinary surround.",1
Specify the overall efficiency of Turbo compressors.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Identify magnetic and dielectric materials for engineering applications,Apply their learning to design and develop basic mechanical systems and processes.,0
Apply project management techniques like PERT and CPM for effective planning and execution of projects.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Determine the natural frequency of two degree freedom vibrating systems,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Assess the realization of Fundamental Rights and Directive Principles of State Policy.,"Environment and sustainability: Understand the impact of the professional technology solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable developing.",2
Acquire the bedrock of Python Scripting Language used in developing IoT applications.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",1
Understand the theatrical role of production organisation and it design in production and operationsmanagement.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",1
Estimate the error in an experimental measurement,Apply their encyclopaedism to design and get basic mechanical systems and processes.,1
Compile the capacity and prepare comprehensive reputation.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Prove the formability characteristics of a given sheet metallic element.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
Apply the vector differential operators to Scalars and Vector functions.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Describe the decentralisation and cryptographic primitives.,"Problem analysis: Identify, formulate, inquiry lit, and analyze complex engineering problems turn over actualize conclusions using first principle of mathematics, born sciences, and applied science sciences.",3
Apply technological knowledge to real world industrial / rural situations,Apply their learning to design and develop basic mechanical systems and processes.,3
Appraise the performance of gasolene and rudolf christian karl diesel engines.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Rigidity modulus of a given shaft specimen by tortuosity test and shear modulus of closely coiled helical spring.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
Demonstrate the cognition of various Additive Fabrication Processes.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Follow the environmental ethics and contribute to the mitigation and management of environmental disasters.,Apply their learning to design and develop basic mechanical systems and processes.,0
Analyse the parameter of the given ringlet and mensuration of power and department of energy in AC circuits,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Understand orthographic projections of points and straight lines.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
"Understand mechanical structures, motors, sensors, and circuits essential for constructing robots.",Select manufacture appendage and their appropriate parametric quantity for the production of typical engineering components.,1
"Apply the Second jurisprudence of thermodynamics to analyze heating plant pump, refrigerators, heating plant engines and to value entropy changes.",Apply their learning to design and develop basic mechanical systems and processes.,3
Regulate the turns ration / performance argument of individual - phase angle transformer,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",2
Understand fundamentals of supply chain and its key concepts.,"Trouble depth psychology: Identify, formulate, research lit, and analyze complex engineering problems hit substantiated finish use first principles of mathematics, natural science, and engine room science.",3
Apply project management techniques like PERT and CPM for effective planning and execution of projects.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
Identify principal parts of an machine and its layout.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
Use different solvers based on applications,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
Trace the dissimilar types of holdfast.,Apply their learning to design and develop basic mechanical systems and processes.,2
Predict natural oftenness and mood anatomy for all continuous systems.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Present technical know-how and professional skills before the committee.,"Individual and team work: Function effectively as an individual, and as a fellow member or leader in divers teams, and in multidisciplinary setting.",2
Evaluate the potential diligence and impact of blockchain technology in unlike sector..,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
"Name the innate resources and understand the grandness of water, food, wood, mineral, energy, land imagination and effects of terminated utilisation.",Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Analyze and choose right inventory control techniques.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
"Estimate the heat transportation in font menstruum over denture, cylinders and flow through tube shaped structure.","Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Apply technical knowledge to real world industrial/rural situations,Apply their learning to plan and recrudesce basic mechanical systems and processes.,3
"Acquire noesis in the functionality, public presentation and testing of hydraulic turbine","Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Infer the basics of single phase angle transformer,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",3
Determine the various properties of fluids,Apply their learning to design and develop basic mechanical systems and processes.,0
Apply techniques of writing in business correspondence and in writing articles.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",0
Analyze the challenge to union system and position of the President and the Prime Minister in the North Government activity.,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Explain the Hazardous Waste Management and Treatment process.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Mold the turning ration / performance parameters of undivided - phase transformer,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Make use of lasers and superconductors in technological applications,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",1
Evaluate the organisational import of cyber security by assessing the price relate with cybercrimes,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Describe the decentralisation and cryptological primitive.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Understand Engineer ’ sulphur responsibility and morals.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
Determine the turns ration / carrying out parameter of single - phase angle transformer,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
Forecast the solutions of foremost order linear differential equations.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Demonstrate the ability in designing sliding contact bearings & selection of rolling contact bearings.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Apply unlike techniques to reduce and keep Wear and corrosion in Industriousness.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",3
Write the CNC part programme for wide eyed components.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Apply the basic principles of three toed sloth in job resolution.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",1
Describe the decentralisation and cryptographic primitive person.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Apply the vector differential operator to Scalars and Transmitter functions.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Understand the concepts of linear programming problems and Solve,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Compare various inventory control techniques used in production system.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Examine problems of limited complexity in buckling and dynamic analysis.,"Problem analysis: Identify, formulate, research lit, and analyze complex engineering problem reaching substantiated termination use first rule of math, rude sciences, and engine room science.",3
Enumerate the history and foundations of Artificial Intelligence.,"The applied scientist and society: Apply reasoning informed by the contextual knowledge to assess social, wellness, safety, effectual, and cultural issue and the consequent responsibilities relevant to the professional engineering practice.",2
Pull in the different types of fastening.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Recover out stress and line in thin, thick cylindric shell and able to calculate critical buckling loads in columns and struts.","Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
"Acquire knowledge in the functionality, performance and testing of hydraulic turbines",Apply their learning to design and develop basic mechanically skillful system of rules and process.,2
Describe the finishing and super finishing functioning and the theoretical account required.,Apply their learning to design and develop basic mechanical systems and processes.,2
Acquire the basics of Python Scripting Language used in developing IoT applications.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Select the solar collector based on the application.,"Behaviour investigations of complex problems: Consumption inquiry - based knowledge and including design of experiment, analysis and interpretation of data, and deductive reasoning of the information to bring home the bacon valid conclusions.",1
Analyze and choose right inventory control techniques.,"Engineering knowledge: Apply the knowledge of math, science, engineering fundamental principle, and an technology specialization for the solution of complex engineering trouble.",2
Predict the steady state response of RLC circuits with AC single phase/three phase supply.,Select manufacturing processes and their appropriate parameter for the production of distinctive technology components.,1
"Calculate forces and work done by a jet on fixed or moving, flat and curved blades.","Apply the concepts of mechanically skillful technology in power generation, aerospace, environmental, bio - aesculapian, self propelled, sustainable energy system of rules and with suited safety precautions.",0
Apply inventory management technique.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Make use of Apply constraints to assemble the components using CAD software,Give their learnedness to design and develop basic mechanical systems and processes.,3
Define research problem,"The technologist and society: Apply reasoning inform by the contextual knowledge to assess societal, wellness, safety, legal, and ethnical issues and the consequent responsibilities relevant to the professional applied science practice.",1
Determine the energy red ink in conduit.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Draw the different types of fasteners.,"Job depth psychology: Identify, formulate, research literature, and analyze complex engineering problem attain actualize conclusions using first principle of maths, lifelike sciences, and engine room sciences.",3
Understand design thinking and its phase as a puppet of innovation,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",1
"Develop prototypes / exemplar, observational frame up and software package systemsnecessary to come across the objectives.","The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Become conversant with appropriate use of CAD software for drafting and able to draw conic section.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",3
Exhibit a sense of social responsibility.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,0
Understand the concepts of linear programming problems and Solve,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Write the CNC part program for simple components.,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Recognise their part as global citizens.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
Evaluate the properties of pure substances and analyze the performance of steam power cycles.,"Design / development of solutions: Design solutions for complex engineering problems and design system components operating theatre appendage that adjoin the delimitate needs with appropriate consideration for public health and safety device, and cultural, societal, and environmental considerations.",0
Analyze the feasibleness of new business plan.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",1
Understand FE method acting for puzzle out field problems using energy formulations.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Analyze shear stress distribution in unlike sections of shaft and find out principal stresses and strains.,Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,1
Understand the mechanism of clash and can solve friction problem,Apply their learning to design and develop basic mechanical systems and processes.,2
Calculate the heat transfer coefficient of heat exchanger for various configurations.,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
"Classify the mechanisms of tool wearing, estimate tool aliveness using Zachary taylor ’ s equation nether various cut condition and the application of foreshorten fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Examine problems of modified complexity in buckling and dynamic analysis.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Demonstrate the capability of comparison of various non-conventional machining methods,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Predict the steady state response of RLC circuits with AC single phase/three phase supply.,"Orchestrate noesis: Give the cognition of maths, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Evidence the noesis of various Additive Fabrication Processes.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
Plan and create components of utility using various manufacturing facilities in the laboratory.,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",1
Analyze searching / sorting technique to solve problem that involve finding and manipulate data point.,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Assess the likely applications and impact of blockchain technology in different sectors..,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
Understand the laws related to fluid flow and their applications,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
Correlate the rut treatment methods and the mechanically skillful property obtained.,Apply their learning to design and develop basic mechanical systems and processes.,3
"Classify the mechanisms of tool wear, estimate cock life using Taylor ’ s equivalence nether diverse abridge weather and the application of cut fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Distinguish different types of refrigerant and evaluate the carrying into action of different aircraft refrigeration systems,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Describe the decentralisation and cryptologic primitive person.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Acquire the basics of Python Scripting Language used in developing IoT applications.,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",1
Follow the environmental ethics and contribute to the mitigation and management of environmental disasters.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
Develop the skills and expertise in report writing.,Ethics: Apply honorable principles and commit to professional ethics and responsibilities and norms of the applied science practice.,3
Describe the decentralisation and cryptographic primitive.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Represent tolerances and the spirit level of open finish of machine constituent and prepare the cognitive process tabloid.,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
Classify nuclear power plants based on moderator and coolant.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
Pass judgment the organizational implications of cyber security by assessing the monetary value tie in with cybercrimes,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
Make out the grandness of renewable energy and solar geometry.,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",0
"Develop their ability to write paragraphs independently on any context with cohesion, edit essays coherently while realizing brevity through précis writing.","Life - tenacious learning: Recognize the pauperism for, and have the preparation and ability to betroth in independent and life - retentive learning in the across the board context of technological change.",3
"Recognise different types of dam, spill ways and hydroelectric power plant life.",Select manufacturing processes and their appropriate parameters for the production of typical engineering components.,2
Demonstrate standard operations on linear and nonlinear data structures.,Apply their learning to design and develop basic mechanical systems and processes.,1
Develop the solutions with modular approach using functions to enhance the code efficiency.,"Environment and sustainability: Understand the wallop of the professional engineering solutions in societal and environmental linguistic context, and present the cognition of, and need for sustainable development.",0
"Understand mechanical social organisation, motors, sensors, and circuit indispensable for constructing automaton.","Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",3
Demonstrate the knowledge of various Additive Manufacturing Processes.,"Organise noesis: Put on the knowledge of mathematics, science, engine room fundamentals, and an engineering specialization for the answer of complex engineering trouble.",3
Name the introductory tools and requirements of dissimilar maintenance procedures.,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
Apply various cloud inspection and repair and deployment models and virtualization techniques for business.,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",0
"Identify the microscopic chemistry in terms of molecular orbitals, intermolecular forces and charge per unit of chemical reaction.","Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
Identify crystal structure of various metals.,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
Design the spur track and helical gears based on shaft of light strength and wear strong suit.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",2
"Sort out the mechanisms of tool wear, estimate puppet sprightliness use Taylor ’ s equation under various cutting experimental condition and the application program of cut fluid.","Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",2
Perform asymptotic analysis for operations on data structures.,"Apply the concepts of mechanical engineering in power generation, aerospace, environmental, bio-medical, automotive, sustainable energy systems and with suitable safety precautions.",0
Infer the basics of single phase transformer,"Apply the conception of mechanical engineering in power multiplication, aerospace, environmental, bio - aesculapian, automotive, sustainable muscularity systems and with suited refuge precautions.",3
