Course Identifier,CO Identifier,CO Description,PO/PSO Identifier,PO/PSO Description,Score (0-3)
CSE23320,CO4,IoT and Industry Application Communications protocol and use of Database.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CSE23316,CO4,Perform data point analytics with Hadoop Eco System of rules.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CS23317,CO1,Identify different components of machine learning system and analyze the mathematical theories and concepts behind machine learning.,PSO1,"The power to infer, analyze and originate computer programs in the sphere of estimator scientific discipline and to solve computer software and hardware related engineering job.",3
CI20303,CO1,"Understand AWS core services, security, architecture, pricing, and support.",PSO3,The ability to gain knowledge in diverse areas of data processor science and apply for successful career entrepreneurship and in high spirits studies.,1
CSE23307,CO3,Implement unlike graphical record algorithms and analyze their time complexity.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
IT42123,CO1,Identify the unique issues in sensor networks.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23307,CO3,Implement different graph algorithms and analyze their time complexity.,PO7,"Environment and sustainability: Infer the impact of the professional engineering solution in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable ontogenesis.",0
CSE23316,CO4,Perform data point analytics with Hadoop Eco System.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CS23317,CO4,Gain idea about inductive and deductive learning theories and support vector machine.,PO9,"Individual and team work: Mapping effectively as an mortal, and as a member operating theatre leader in various teams, and in multidisciplinary settings.",0
CSE21308,CO3,"Analyze internal details of a processor, how instructions are executed using different hardware units, and how control unit controls all hardware components.",PO3,"Design / development of solution: Design solutions for complex engineering problems and plan system portion or processes that meet the specified needs with appropriate consideration for public health and safety device, and ethnical, societal, and environmental considerations.",3
CSE21303,CO4,"Analyze and design Java programs using advanced features such as AWT, Applet, Swing, and Socket.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO4,"Behavior investigation of complex problems: Use enquiry - establish knowledge and including purpose of experiments, analysis and rendition of datum, and synthesis of the information to provide valid conclusion.",2
CSE23304,CO1,Understand the fundamental concepts of assorted information structure and their utilization.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CI20303,CO5,Demonstrate various help models.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CI20303,CO1,"Understand AWS core services, security measure, architecture, pricing, and backing.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23305,CO4,Valuate the mechanisms to check and preserve the wholeness and dependability of data during transmission in a data processor network,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CSE23450,CO2,Understanding of Cloud computing and its components.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23305,CO4,Value the mechanisms to check and save the integrity and reliability of datum during transmission in a calculator network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO4,Evaluate the mechanisms to check and preserve the unity and dependableness of data during infection in a data processor network,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting organization components beaver state process while vigilantly weigh the conditional relation for public health, base hit, general well - being, and cultural, societal, and economical prospect.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",1
CS42175,CO1,Understand the central technology of roving technology and information technology enhancement.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,0
CSE23306,CO5,Apply recovery strategies for transactions and utilize database storage and access strategies,PO6,"The applied scientist and smart set: Apply reasoning informed by the contextual noesis to assess social, wellness, safety, legal, and ethnical issues and the consequent responsibilities relevant to the professional engineering pattern.",1
CSE23320,CO1,"Savvy of IoT fundamentals, Architecture construct and design.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE23304,CO4,Implement linear and non-linear data structures.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CS42175,CO2,Differentiating the mobile communication and its management by techniques and methods.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23320,CO5,System design methodology concept.,PO4,"Conduct investigations of complex problems: Utilization inquiry - establish knowledge and including design of experiments, analysis and interpretation of data, and deductive reasoning of the info to provide valid conclusion.",3
CSE23304,CO4,Implement linear and non-linear data structures.,PSO4,Power to use knowledge of honourable and management principles involve to exploit in a team as intimately as to lead a team.,1
CSE23306,CO3,Analyze functional dependencies and normalize the database schema,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23306,CO3,Analyze functional addiction and normalize the database scheme,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
Major Project,CO4,"Provide engineering solutions by conceptualise and crafting system components beaver state processes while watchfully weighing the implications for public wellness, safety, universal well - being, and cultural, societal, and economic aspects.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,2
CSE23305,CO3,Analyze the running principle and protocols of data link layer.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CSE23307,CO3,Implement different graph algorithms and analyze their time complexity.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CSE21303,CO3,Analyse the concepts of Inherence to solve real time problems.,PSO3,The ability to gain knowledge in various areas of information processing system science and apply for successful vocation entrepreneurship and high pitched study.,1
CS42177,CO3,Differentiate among roles of several optimizers and normalization techniques.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CS42177,CO4,Characterise the different component of unsupervised bass neural network models ’ computation.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
Major Project,CO2,"Develop a structured roadmap for executing the task applying rudimentary technology principles, assure that information technology aligns seamlessly with the predetermined timeline.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CS40141,CO4,Develop solution with embedded systems for multidisciplinary scientific problems.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
CSE21303,CO4,Create a C++ Program that uses concepts of polymorphism.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CS30144,CO2,"Understand pipelining, its speed vantage and proficiency to reduce hazard.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
Major Project,CO2,"Modernise a structured roadmap for carry out the project applying underlying engineering rationale, see that information technology align seamlessly with the predetermined timeline.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23307,CO3,Implement different graph algorithms and analyze their time complexity.,PO3,"Design / ontogeny of solutions: Design solutions for complex engineering problems and figure system constituent or processes that meet the specified needs with appropriate consideration for public wellness and safety, and cultural, societal, and environmental considerations.",2
CSE23304,CO2,"Solve problems using data structures such as linear lists, stacks, queues, trees, and graphs and write programs for these solutions.",PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional workplace, foster collaboration, ethical deportment, and effective cognition dissemination.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,2
CSE23316,CO3,Access and Appendage Data using MapReduce.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CS42175,CO5,"Attributing and Organizing activity, cognitive operation and services of realness of applications programme.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,2
Major Project,CO1,"Perform a comprehensive background analytic thinking focusing on specific expert aspect. Afterward, craft a clear and considerably - defined undertaking objective that aligns with the insight pull ahead from this thorough investigation.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
CI20303,CO2,Adapt different types of virtualization and increase resourcefulness exercise.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO3,"Design / exploitation of solutions: Design solution for complex engineering problems and designing system components surgery processes that meet the intend needs with appropriate consideration for public wellness and safety, and ethnical, societal, and environmental considerations.",2
CSE23306,CO1,Understand the fundamental elements of relational database direction system of rules and its Applications,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill solidification to navigate the intricacies of professional work, foster collaborationism, ethical doings, and effective cognition dissemination.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
Major Project,CO4,"Provide technology solvent by gestate and crafting system components or processes while vigilantly weighing the implication for public health, safety, general well - being, and ethnical, social, and economic aspects.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
CSE23304,CO3,Analyze and implement various look and sorting techniques,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
Major Project,CO1,"Perform a comprehensive backcloth depth psychology focalize on specific expert facets. Subsequently, craft a clear and advantageously - defined project objective that aligns with the insights gained from this thorough probe.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
CS42177,CO1,Understand different components of neural network computing elements.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
CS42175,CO5,"Attributing and Organizing bodily process, process and service of reality of applications.",PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",2
CI40136,CO2,Carry out Analysis and Design activities using function oriented analysis and design methodologies.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CSE23307,CO4,"Learn backtracking, branch leap and string matching problems by analyze their time complexness.",PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CSE23304,CO4,Implement linear and non - linear information structures.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
IT42123,CO3,Measure the element and surgical process of a memory power structure and the performance emergence determine its design.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE21303,CO4,Create a C++ Program that uses concepts of polymorphism.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23305,CO2,Analyze the process of entropy transformation while move done diverse layers of a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS40141,CO1,Understand the basics and importance of embedded systems.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23307,CO1,Compute time complexity using asymptotic notations by appropriate mathematical tools.,PO3,"Aim / development of solutions: Design solutions for complex engineering job and design arrangement components or processes that suffer the set penury with appropriate considerateness for public health and safety, and cultural, societal, and environmental consideration.",2
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO4,Ability to use knowledge of ethical and direction principles required to work in a team every bit advantageously as to contribute a squad.,1
CSE23304,CO4,Implement linear and non - analogue data point structures.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23307,CO4,"Learn backtracking, branch bound and string matching problems by analyzing their time complexity.",PO12,"Life - tenacious learnedness: Recognize the need for, and give birth the readiness and power to plight in independent and life - long learning in the broadest context of technical variety.",2
CSE23316,CO2,Understand HDFS Architecture.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CI20303,CO1,"Understand AWS core services, security, architecture, pricing, and support.",PO12,"Animation - long learning: Realise the demand for, and give the preparation and ability to engage in self governing and living - foresighted learning in the broadest context of technical change.",1
CSE21303,CO4,Create a C++ Program that uses concepts of polymorphism.,PSO2,The ability to develop software systems to allow convenient utilization of computing systems and possess professional science and cognition of package purpose processes.,3
CI20303,CO1,"Understand AWS magnetic core service, security, architecture, pricing, and support.",PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23304,CO2,"Solve job using information structures such as additive tilt, mess, queue, trees, and graphical record and write programs for these solutions.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23304,CO5,Apply effective data structure to solve specific job.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23307,CO3,Implement different graph algorithmic rule and analyze their time complexity.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS23317,CO3,Learn and implement unsupervised political machine eruditeness mannequin and their applications.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CI40136,CO5,Differentiate different architecture trends.,PSO1,"The ability to understand, analyze and develop computer political platform in the arena of electronic computer science and to resolve computer software system and hardware related engineering science problem.",3
IT42123,CO4,"Analyze the challenges in designing MAC, routing and transport protocols for wireless sensor networks.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",3
CSE23309,CO1,"Identify class, methods, and libraries of object - oriented programme using Coffee.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CS42175,CO2,Differentiating the mobile communication and its management by techniques and methods.,PSO2,The ability to originate software systems to allow convenient use of goods and services of computing system and possess professional skills and knowledge of software invention processes.,3
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional work, nurture quislingism, ethical conduct, and effective noesis dissemination.",PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",1
CSE23307,CO2,Understand dissimilar algorithm design proficiency and apply important algorithmic design paradigms.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS40141,CO1,Understand the basics and grandness of embedded systems.,PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CSE23305,CO1,Understand dissimilar types of models used for Datum communication in a computer network,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
CS23317,CO2,Understand the design and modeling of supervised machine learning techniques and compare different learning algorithm validation methods.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",0
CSE23304,CO4,Implement linear and non - linear data structure.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE21303,CO1,Understand basic conception of OOPs and syntax of C + +.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
Major Project,CO5,"Demonstrate quickness and empower multifaceted skill readiness to navigate the intricacies of professional work, further collaboration, ethical demeanor, and effective knowledge dissemination.",PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CI20303,CO3,Build a private cloud using open source technologies.,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
IT40138,CO3,Apply Genetic algorithms for clear various real - lifetime technology and social problems.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,0
Major Project,CO4,"Provide engineering solutions by conceptualizing and craft system components or process while vigilantly weighing the implication for public health, safety, general well - being, and ethnic, societal, and economic face.",PO8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.,0
CS30144,CO1,Analyze the basic rule of a computing machine design and the assorted public presentation measures.,PSO2,The ability to develop software systems to allow convenient use of computing systems and possess professional skills and knowledge of software design processes.,3
CSE23450,CO5,Explore resource management in cloud and overview of big data computing environment.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23450,CO2,To define an IT Infrastructure and describe its components.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
CS23317,CO5,Explore unlike recent machine technique.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,3
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacy of professional workplace, fostering collaborationism, ethical doings, and effective knowledge airing.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CSE23305,CO4,Evaluate the mechanics to match and preserve the unity and reliability of data point during transmission in a computing machine net,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
IT40138,CO4,Use horde Intelligence service for solving optimization problems in societal covering.,PSO3,The ability to gain knowledge in diverse areas of computer science and apply for successful career entrepreneurship and higher studies.,1
CSE23450,CO2,Understanding of Cloud computing and its components.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CI20303,CO2,Adapt different types of virtualization and increase resource utilization.,PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",0
IT40138,CO4,Use swarm Intelligence for solving optimization problems in societal application.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",3
CSE23307,CO4,"Learn backtracking, branch bound and string matching problems by analyzing their time complexity.",PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",0
CSE23304,CO5,Apply efficient data structures to solve specific problems.,PO4,"Behaviour investigations of complex trouble: Use research - base knowledge and let in design of experimentation, analysis and interpretation of data, and deduction of the information to supply valid conclusions.",2
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO5,"Forward looking tool employment: Create, select, and apply appropriate proficiency, resources, and modern engineering and information technology tools, including prediction and sit to complex engineering bodily function, with an discernment of the limitations.",2
CSE23304,CO4,Implement linear and non - analog data complex body part.,PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",0
IT40138,CO5,Apply Loan blend Soft Computation Techniques for some real life applications.,PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",3
Major Project,CO4,"Provide engineering solutions by conceptualizing and crafting system components or processes while vigilantly weighing the implications for public health, safety, general well-being, and cultural, social, and economic aspects.",PO1,"Engineering noesis: Apply the cognition of maths, science, engineering basics, and an engineering specialty for the root of complex engineering problems.",1
CSE21303,CO2,Design and implement a class based on attributes and behavior of objects.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
Major Project,CO3,"Leverage advance technological expertise, harness modern technology tools to carry out experiments and engage in a rigorous data depth psychology unconscious process.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
CS23317,CO2,Understand the design and modeling of supervised machine learning techniques and compare different learning algorithm validation methods.,PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",0
CS42177,CO2,Develop skills of using recent convolutional neural network architectures for solving practical problems.,PO2,"Trouble analysis: Identify, formulate, inquiry literature, and analyze complex engineering problem reaching substantiated conclusions utilize first principle of math, natural science, and engineering sciences.",3
CSE23316,CO5,Analyze Big Datum in veridical life problem.,PO1,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization for the solution of complex engineering problems.",3
CS40141,CO4,Develop solutions with embedded systems for multidisciplinary scientific problems.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
CI20303,CO1,"Understand AWS sum services, security, computer architecture, pricing, and accompaniment.",PO2,"Problem analysis: Identify, formulate, research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences.",1
IT40138,CO1,Investigate optimization problems and apply the concepts of Artificial Neural Network (ANN).,PO9,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings.",0
Major Project,CO1,"Perform a comprehensive background analysis focusing on specific technical facets. Later, craft a clear and advantageously - delineate labor objective that aligns with the insight gain from this thorough probe.",PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",3
CSE21303,CO5,Design and implementation of different design patterns using Java.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23304,CO4,Implement linear and non - analogue data structure.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23316,CO1,Original the concept of Big Data and Hadoop.,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",0
Major Project,CO2,"Develop a structured roadmap for executing the project applying fundamental engineering principles, ensuring that it aligns seamlessly with the predetermined timeline.",PO7,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development.",1
CS23317,CO4,Amplification idea about inducive and deductive acquisition theories and support vector machine.,PO6,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice.",2
CSE23304,CO1,Understand the fundamental concepts of various data structures and their usage.,PSO4,Power to use knowledge of ethical and direction principle required to work in a team equally comfortably as to lead a team.,1
CSE23306,CO3,Analyze functional dependencies and normalize the database schema,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CSE23304,CO2,"Solve problem using data structures such as linear lists, stacks, queue, trees, and graph and write platform for these solutions.",PO4,"Conduct investigations of complex problems: Use research-based knowledge and including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions.",2
IT42123,CO4,"Analyze the challenges in designing MAC, routing and transport protocols for wireless sensor networks.",PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,0
CI20303,CO5,Demonstrate various overhaul modeling.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
CSE23306,CO3,Analyze functional dependencies and normalize the database schema,PSO3,The ability to gain knowledge in various areas of computer scientific discipline and apply for successful vocation entrepreneurship and higher studies.,1
CSE23304,CO5,Apply efficient data structure to solve specific trouble.,PSO4,Ability to use knowledge of ethical and management principles required to work in a team as well as to lead a team.,1
CSE23307,CO1,Compute time complexity using asymptotic notation by appropriate mathematical instrument.,PSO1,"The ability to understand, analyze and develop computer programs in the area of computer science and to solve computer software and hardware related engineering problems.",3
CS23317,CO5,Explore different late machine techniques.,PO5,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modeling to complex engineering activities, with an understanding of the limitations.",3
CSE23307,CO2,Understand different algorithm design techniques and apply important algorithmic design paradigms.,PO5,"Modern tool usage: Create, select, and apply appropriate technique, resources, and mod engineering and IT tool, let in prediction and model to complex engineering activity, with an understanding of the limitations.",1
CSE23305,CO2,Analyze the cognitive process of information transformation while moving through diverse layers of a information processing system network,PO12,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change.",2
CSE23305,CO5,Identify and implement different types of application in covering layer.,PO3,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, and cultural, societal, and environmental considerations.",2
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill sets to navigate the intricacies of professional work, fostering collaboration, ethical conduct, and effective knowledge dissemination.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",3
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill set to navigate the intricacies of professional study, foster coaction, honourable conduct, and in force knowledge dissemination.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Major Project,CO5,"Demonstrate adeptness and empower multifaceted skill set to navigate the intricacy of professional work, fostering coaction, ethical doings, and efficacious knowledge dissemination.",PO11,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one’s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments.",1
Major Project,CO4,"Provide engineering solution by conceptualizing and craft system components or processes while vigilantly consider the entailment for public wellness, safety, general easily - being, and cultural, social, and economical prospect.",PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",2
CSE21310,CO1,Describe various theoretical models for recognizing formal languages.,PO10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with the society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions.",0
